epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,91.9931,0.57771,0.40953,0.85471,0.98597,1,0.995,0.72868,1.02278,0.38811,1.00453,0.000700424,0.000700424,0.000700424
105,92.8493,0.57713,0.39797,0.8706,0.98755,1,0.995,0.73418,1.066,0.41205,1.01575,0.000693351,0.000693351,0.000693351
106,93.7057,0.6336,0.41401,0.93009,0.98749,1,0.995,0.71579,1.116,0.42867,1.03173,0.000686277,0.000686277,0.000686277
107,94.5808,0.57293,0.41603,0.85804,0.98875,1,0.995,0.6992,1.16962,0.43433,1.04276,0.000679204,0.000679204,0.000679204
108,95.4407,0.54328,0.39849,0.85289,0.96856,0.99624,0.995,0.69323,1.2008,0.45084,1.05322,0.00067213,0.00067213,0.00067213
109,96.2723,0.60207,0.40096,0.87003,0.95776,0.9947,0.995,0.69776,1.16705,0.43889,1.03315,0.000665057,0.000665057,0.000665057
110,97.144,0.59679,0.4226,0.8575,0.96053,0.99508,0.995,0.71771,1.10405,0.436,1.01304,0.000657983,0.000657983,0.000657983
111,98.0286,0.56988,0.40906,0.85619,0.95732,0.99502,0.995,0.73743,1.0996,0.42563,1.02765,0.000650909,0.000650909,0.000650909
112,98.8778,0.55878,0.40054,0.85925,0.96972,0.99812,0.995,0.70323,1.1615,0.42276,1.04322,0.000643836,0.000643836,0.000643836
113,99.745,0.51589,0.3882,0.84039,0.98121,1,0.995,0.70235,1.17974,0.42005,1.05232,0.000636762,0.000636762,0.000636762
114,100.65,0.53216,0.38247,0.85737,0.98861,1,0.995,0.7017,1.15762,0.43588,1.06505,0.000629689,0.000629689,0.000629689
115,101.539,0.54951,0.38821,0.85173,0.9908,1,0.995,0.72747,1.12267,0.44138,1.06762,0.000622615,0.000622615,0.000622615
116,102.482,0.5081,0.37079,0.81856,0.9903,1,0.995,0.72188,1.12036,0.43442,1.05414,0.000615542,0.000615542,0.000615542
117,103.34,0.50912,0.37368,0.84286,0.99016,1,0.995,0.71702,1.11674,0.41599,1.04693,0.000608468,0.000608468,0.000608468
118,104.227,0.51071,0.37619,0.84264,0.98981,1,0.995,0.72699,1.05955,0.38963,1.01259,0.000601395,0.000601395,0.000601395
119,105.093,0.51675,0.36936,0.8429,0.98741,1,0.995,0.72937,1.05138,0.3889,1.01061,0.000594321,0.000594321,0.000594321
120,105.975,0.48508,0.37633,0.83929,0.98871,1,0.995,0.74874,1.06322,0.38529,1.02974,0.000587248,0.000587248,0.000587248
121,106.851,0.49873,0.36532,0.85393,0.98805,1,0.995,0.74257,1.07879,0.37436,1.04417,0.000580174,0.000580174,0.000580174
122,107.762,0.54761,0.38089,0.86794,0.98605,1,0.995,0.70848,1.10238,0.39691,1.06494,0.0005731,0.0005731,0.0005731
123,108.75,0.51975,0.37633,0.85632,0.98504,1,0.995,0.70791,1.13633,0.40369,1.09771,0.000566027,0.000566027,0.000566027
124,109.74,0.50469,0.37027,0.84626,0.98755,1,0.995,0.70345,1.18885,0.41822,1.11537,0.000558953,0.000558953,0.000558953
125,110.656,0.48494,0.36062,0.83349,0.98701,1,0.995,0.70256,1.19685,0.40317,1.11639,0.00055188,0.00055188,0.00055188
126,111.561,0.53051,0.37791,0.84977,0.98799,1,0.995,0.71067,1.16995,0.40118,1.10676,0.000544806,0.000544806,0.000544806
127,112.437,0.47941,0.35229,0.85018,0.98952,1,0.995,0.70498,1.12439,0.39858,1.08387,0.000537733,0.000537733,0.000537733
128,113.331,0.48594,0.35582,0.84076,0.9869,1,0.995,0.71709,1.10806,0.39864,1.06864,0.000530659,0.000530659,0.000530659
129,114.235,0.47234,0.34358,0.83173,0.98645,1,0.995,0.72524,1.08515,0.39762,1.05707,0.000523586,0.000523586,0.000523586
130,115.25,0.49987,0.34874,0.84507,0.98618,1,0.995,0.73575,1.04087,0.39075,1.03997,0.000516512,0.000516512,0.000516512
131,116.146,0.46694,0.3415,0.83084,0.98676,1,0.995,0.72581,1.07805,0.40045,1.04885,0.000509438,0.000509438,0.000509438
